case_id,final_lines
2061,74.74468085
2063,9.234042553
2064,25.38297872
2065,25.63829787
2067,29.73913043
2068,16.42553191
2069,13
2070,11.56521739
2080,27.80487805
2081,11.53333333
2084,42.83783784
2085,55.05555556
2086,36
2087,42.32352941
2088,37.78571429
2089,39.37037037
2090,39.5
2091,34.88461538
2092,26.5952381
2093,21.12765957
2094,22
2095,16.2173913
2096,6.255319149
2097,27.88888889
2098,16.76086957
2099,13.23913043
2100,8.29787234
2101,19.5952381
2102,14.85714286
2103,150.1923077
2104,38.53333333
2105,19.24444444
2106,26.97826087
2107,10.75
2108,12.7173913
2109,7.347826087
2110,14.41304348
2111,21.5
2112,7.75
2113,65.175
2114,18.64444444
2115,64.59677419
2116,22.36363636
2117,13.63636364
2118,11.22727273
2119,13.95454545
2120,15.08888889
2121,14.02222222
2122,18.75555556
2123,10.56818182
2124,61.79166667
2125,22
2126,20.02325581
2127,10.1875
2128,15.88636364
2129,14.18604651
2130,15.18181818
2131,19.9
2132,42.7804878
2133,12.52272727
2134,12.5106383
2135,14.18604651
2136,20.20930233
2137,12.04545455
2138,16.93023256
2139,29.16
2140,26.82926829
2141,15.04444444
2142,25.30232558
2145,22.51162791
2146,40.82857143
2147,78.25806452
2148,45.61290323
2149,158.1764706
2150,38.62962963
2151,15.17857143
2152,27.4084507
2153,13.01098901
2154,9.818181818
2155,71.92857143
2156,71.87804878
2157,33.21428571
2158,29.85714286
2159,33.87804878
2160,14.1627907
2161,7.954545455
2162,9.30952381
2163,15.74418605
2164,14.83783784
2165,25.67567568
2166,20.36111111
2167,18.31034483
2168,34.01818182
2169,32.88636364
2171,24.75555556
2172,45.63636364
2173,12.52173913
2174,77.20588235
2175,32.1
2176,18.6962963
2177,29.52941176
2178,35.46153846
2179,29.25
2180,28.84
2181,9.5
2182,27.06666667
2183,11.2173913
2184,8.326086957
2185,23.91304348
2186,11.5
2187,19.93023256
2188,30.70588235
2189,28.12195122
2190,46.92307692
2192,22.83333333
2193,57.5
2194,26
2195,28.04878049
2196,46.51428571
2197,20.46341463
2198,30.81578947
2199,27.27272727
2200,30.84615385
2201,21.33333333
2202,19.45
2203,35.47619048
2204,11.73809524
2205,17.15
2206,18.68292683
2207,16.21428571
2208,19.35897436
2209,30.98717949
2210,33.32432432
2211,28.04761905
2212,18.47826087
2213,25.29032258
2214,12.69767442
2215,13.78571429
2216,32.35443038
2217,18.6097561
2218,10.41860465
2219,14.51162791
2220,27.25925926
2221,43.55263158
2222,45.61904762
2223,14.23809524
2224,17.48837209
2225,22.275
2226,18.79069767
2227,23.5
2228,12.80487805
2229,12.86046512
2230,17.69047619
2231,24.60465116
2232,48.21428571
2233,38.31428571
2234,58.93103448
2235,30.12121212
2236,56.35294118
2237,21.35135135
2238,11.54761905
2239,29.23076923
2240,21.97619048
2241,11.90243902
2242,10.38636364
2243,15.12195122
2244,20.87804878
2245,18.84090909
