user_id,case_id,answer_rate
3544,2908,100
3544,2172,51.12
3544,2179,
3544,2176,100
3544,2307,91.19
3544,2804,100
3544,2908,100
3544,2456,64.11
3544,2450,100
48117,2081,64.85
48117,2180,0
48117,2190,48.5
48117,2177,0
48117,2892,56.97
48117,2188,48.56
48117,2199,48.12
48117,2198,49.08
48117,2164,65.73
48117,2531,62.47
48117,2894,59.07
48117,2530,56.33
48117,2200,49.43
48117,2908,0
48117,2936,38.42
48117,2474,62.98
48117,2173,66.95
48117,2171,45.52
48117,2647,55.17
48117,2548,47.63
48117,2547,63.69
48117,2589,65
48117,2169,56.65
48117,2145,49.16
48117,2607,63.38
48117,2629,59.93
48117,2561,56.9
48117,2186,70.19
48117,2142,63.04
48117,2185,63.15
48117,2482,46.28
48117,2141,59.81
48117,2184,69.32
48117,2140,54.46
48117,2183,62.28
48117,2182,45.64
48117,2181,60.37
48117,2614,62.87
48117,2558,55.85
48117,2610,56.84
48117,2212,63.84
48117,2618,68.27
48117,2617,60.25
48117,2615,44.83
48117,2176,65.9
48117,2494,64.02
48117,2373,49.9
48117,2252,53.96
48117,2395,52.11
48117,2394,59.67
48117,2371,54.6
48117,2392,57.23
48117,2701,45.17
48117,2426,72
48117,2425,58.35
48117,2424,69.31
48117,2203,100
48117,2467,50.78
48117,2346,46.69
48117,2423,66.22
48117,2466,58.98
48117,2345,58
48117,2389,55.08
48117,2344,64.59
48117,2388,69.72
48117,2442,57.07
48117,2209,60.47
48117,2307,60.88
48117,2527,43.89
48117,2342,53.06
48117,2386,47.28
48117,2341,48.71
48117,2340,61.62
48117,2283,67.45
48117,2061,75.81
48117,2280,70.19
48117,2438,71
48117,2339,0
48117,2338,62.01
48117,2359,59.62
48117,2358,60.25
48117,2357,59.56
48117,2356,51.31
48117,2279,47.44
48117,2179,56.09
48117,2498,58.08
48117,2278,62.88
48117,2211,46.61
48117,2718,0
48117,2463,0
48117,2451,66.6
48117,2462,63.96
48117,2450,41.56
48117,2461,0
48117,2537,75.82
48117,2449,53.76
48117,2514,66.12
48117,2445,64.72
48117,2741,63.66
48117,2542,62.13
48117,2454,57.2
48117,2465,0
48117,2453,0
48117,2464,60.22
48117,2506,66.07
48117,2505,76.42
48117,2535,67.28
48117,2534,71.32
48117,2412,68.57
48117,2444,55.69
48117,2387,58.5
48117,2441,80.65
48117,2396,59.55
48117,2440,80.65
48117,2152,62.13
48117,2490,65.68
48117,2070,0
48117,2111,0
48117,2099,69.18
48117,2110,53.04
48117,2153,61.48
48117,2098,62.13
48117,2097,46.89
48117,2096,0
48117,2095,62.13
48117,2094,100
48117,2093,55.82
48117,2108,0
48117,2106,47.76
48117,2127,66.06
48117,2105,47.29
48117,2069,50.59
48117,2068,65.44
48117,2109,72.46
48117,2067,45.16
48117,2584,0
48117,2100,63.8
48117,2122,67.04
48117,2121,62.13
48117,2065,49.45
48117,2120,61.68
48117,2064,52.75
48117,2063,64.99
48117,2117,63.19
48117,2116,61.21
48117,2114,63.12
48117,2113,0
48117,2134,69.98
48117,2080,100
48117,2088,52.54
48117,2087,52.07
48117,2086,66.54
48117,2085,54.62
48117,2084,53.29
49405,2081,69.04
49405,2180,79.38
49405,2190,48.13
49405,2177,0
49405,2892,66.63
49405,2188,43.72
49405,2199,51.46
49405,2198,83.09
49405,2164,78.02
49405,2196,74.37
49405,2531,100
49405,2894,62.65
49405,2530,73.15
49405,2178,53.16
49405,2200,58.23
49405,2908,73.71
49405,2936,57.89
49405,2474,58.94
49405,2592,51.45
49405,2173,67.89
49405,2172,45.21
49405,2171,66.56
49405,2647,100
49405,2548,65.55
49405,2547,63
49405,2589,62.46
49405,2169,52.27
49405,2145,67.58
49405,2607,55.62
49405,2629,65.2
49405,2561,61.35
49405,2186,68.15
49405,2142,62.32
49405,2185,64.17
49405,2482,48.95
49405,2141,79.61
49405,2184,79.5
49405,2140,54.18
49405,2183,68.81
49405,2182,70.26
49405,2181,76.58
49405,2614,67.46
49405,2558,58.5
49405,2610,65.63
49405,2212,62.09
49405,2618,100
49405,2617,58.42
49405,2615,53.5
49405,2176,72.73
49405,2494,68.55
49405,2373,66.35
49405,2252,66.53
49405,2395,58.8
49405,2394,68.27
49405,2371,66.12
49405,2392,67.32
49405,2193,55.38
49405,2701,54.83
49405,2426,60.2
49405,2425,70.43
49405,2424,75.16
49405,2203,62.7
49405,2467,71.69
49405,2346,51.89
49405,2423,69.45
49405,2466,64.59
49405,2345,57.22
49405,2389,70.77
49405,2344,75.29
49405,2388,76.42
49405,2442,74.33
49405,2209,43.01
49405,2307,68.85
49405,2527,64.79
49405,2342,75.16
49405,2386,79.74
49405,2341,78.02
49405,2340,59.23
49405,2283,68.6
49405,2061,75.56
49405,2280,66.64
49405,2438,100
49405,2339,0
49405,2338,67.49
49405,2359,63.18
49405,2358,100
49405,2357,69.94
49405,2356,56.63
49405,2279,57.92
49405,2179,62.48
49405,2498,66.83
49405,2278,71.14
49405,2211,58.96
49405,2718,69.2
49405,2397,45.07
49405,2463,0
49405,2451,62.68
49405,2462,67.85
49405,2450,59.18
49405,2461,0
49405,2174,0
49405,2537,95.12
49405,2449,80.65
49405,2514,58.18
49405,2445,67.09
49405,2115,57.03
49405,2741,64.86
49405,2542,64.86
49405,2454,100
49405,2465,0
49405,2453,0
49405,2464,67.58
49405,2506,64.87
49405,2505,69.94
49405,2535,81.86
49405,2534,81.86
49405,2412,68.57
49405,2444,62.54
49405,2387,58.64
49405,2441,100
49405,2396,64.62
49405,2440,100
49405,2152,66.26
49405,2490,95.12
49405,2390,44.02
49405,2070,0
49405,2111,0
49405,2099,74.29
49405,2110,65.54
49405,2153,76.15
49405,2098,66.26
49405,2097,48.95
49405,2096,0
49405,2095,66.26
49405,2094,71.15
49405,2093,60.4
49405,2108,0
49405,2106,100
49405,2127,63.54
49405,2105,60.47
49405,2126,71.42
49405,2069,95.12
49405,2068,70.06
49405,2109,89.84
49405,2067,68.08
49405,2584,0
49405,2100,67.85
49405,2122,69.55
49405,2121,66.26
49405,2065,79.14
49405,2120,66.76
49405,2064,65.01
49405,2063,79.64
49405,2119,79.74
49405,2117,69.15
49405,2116,65.57
49405,2114,60.39
49405,2113,46.17
49405,2134,74.43
49405,2253,65.68
49405,2296,54.66
49405,2295,49.86
49405,2273,61.79
49405,2151,100
49405,2291,67.91
49405,2304,52.25
49405,2149,0
49405,2301,55.67
49405,2289,58.78
49405,2168,53.44
49405,2300,58.27
49405,2266,57.61
49405,2288,56.74
49405,2167,100
49405,2308,59.41
49405,2406,60.19
49405,2286,68.46
49405,2383,53.84
49405,2415,63.47
49405,2315,58.56
49405,2237,68.32
49405,2236,65.85
49405,2312,68.28
49405,2378,53.68
49405,2311,63.88
49405,2299,59.21
49405,2439,46.01
49405,2080,100
49405,2091,50.51
49405,2090,61.76
49405,2089,59.21
49405,2088,50.51
49405,2087,45.88
49405,2086,53.09
49405,2085,41.56
49405,2084,100
49405,2139,100
49405,2104,58.1
49405,2103,60.49
49405,2124,61.09
51584,2190,48.13
51584,2061,75.56
51584,2505,75.16
51584,2309,0
51584,2584,0
60581,2081,59.1
60581,2180,0
60581,2190,40.33
60581,2892,43.51
60581,2188,46.12
60581,2199,44.59
60581,2198,0
60581,2164,50.06
60581,2196,0
60581,2531,57.38
60581,2894,44
60581,2530,57.04
60581,2178,0
60581,2200,65.46
60581,2908,53.38
60581,2936,41.21
60581,2474,45.18
60581,2592,58.29
60581,2173,43.5
60581,2172,55.82
60581,2171,48.19
60581,2647,49.33
60581,2548,47.05
60581,2547,46.81
60581,2589,52.69
60581,2169,48.61
60581,2145,48.75
60581,2607,50.76
60581,2629,48.14
60581,2561,48.25
60581,2186,53.59
60581,2142,48.61
60581,2185,48.24
60581,2482,48.33
60581,2141,47.94
60581,2184,52.87
60581,2140,43.65
60581,2183,53.61
60581,2182,51.98
60581,2181,55.11
60581,2614,48.56
60581,2558,49.87
60581,2610,46.13
60581,2212,50.37
60581,2618,52.35
60581,2617,53.04
60581,2615,22.91
60581,2176,58.34
60581,2494,50.33
60581,2373,47.85
60581,2252,48.3
60581,2395,43.28
60581,2394,45.85
60581,2371,50.43
60581,2392,45.31
60581,2193,0
60581,2701,32.51
60581,2426,46.63
60581,2425,44.6
60581,2424,46.6
60581,2467,45.4
60581,2346,32.79
60581,2423,45.38
60581,2203,0
