case_id,final_score,first_score,average_change
2061,97.87234043,87.23404255,10.63829787
2063,100,88.65276596,11.34723404
2064,100,80.31914894,19.68085106
2065,100,79.78723404,20.21276596
2067,100,89.13043478,10.86956522
2068,100,86.17021277,13.82978723
2069,100,97.87234043,2.127659574
2070,100,73.91326087,26.08673913
2080,95.12195122,82.5,12.62195122
2081,100,58.33333333,41.66666667
2084,94.32432432,52.43243243,41.89189189
2085,94.44444444,66.35805556,28.08638889
2086,100,44.44444444,55.55555556
2087,89.30470588,56.95176471,32.35294118
2088,93.92857143,73.21428571,20.71428571
2089,97.03703704,74.81481481,22.22222222
2090,97.11538462,76.92307692,20.19230769
2091,90.38461538,67.30769231,23.07692308
2092,78.04214286,33.33333333,44.70880952
2093,100,87.23404255,12.76595745
2094,99.44444444,87.77777778,11.66666667
2095,100,89.13043478,10.86956522
2096,100,95.74468085,4.255319149
2097,100,81.11111111,18.88888889
2098,100,85.5073913,14.4926087
2099,100,87.5,12.5
2100,100,94.32617021,5.673829787
2101,99.20642857,93.65071429,5.555714286
2102,100,97.61904762,2.380952381
2103,85.57692308,63.46153846,22.11538462
2104,94.074,65.185,28.889
2105,97.77777778,86.66666667,11.11111111
2106,100,85.5073913,14.4926087
2107,100,94.69704545,5.302954545
2108,100,86.23195652,13.76804348
2109,100,89.855,10.145
2110,100,89.855,10.145
2111,100,84.78282609,15.21717391
2112,100,93.18181818,6.818181818
2113,95,70.625,24.375
2114,100,95.55577778,4.444222222
2115,86.0216129,53.49483871,32.52677419
2116,100,90.90909091,9.090909091
2117,100,94.31818182,5.681818182
2118,100,93.18181818,6.818181818
2119,100,90.90909091,9.090909091
2120,99.25933333,88.14844444,11.11088889
2121,100,67.22222222,32.77777778
2122,100,97.778,2.222
2123,100,95.45454545,4.545454545
2124,95.83333333,67.70833333,28.125
2125,96.15384615,74.35884615,21.795
2126,100,82.17046512,17.82953488
2127,100,86.80583333,13.19416667
2128,100,93.18181818,6.818181818
2129,100,89.53488372,10.46511628
2130,100,92.04545455,7.954545455
2131,100,85,15
2132,100,85.36585366,14.63414634
2133,100,94.69704545,5.302954545
2134,100,93.61702128,6.382978723
2135,100,86.04674419,13.95325581
2136,100,96.89930233,3.100697674
2137,100,92.61363636,7.386363636
2138,100,93.02325581,6.976744186
2139,100,84,16
2140,94.63414634,66.82926829,27.80487805
2141,100,66.66666667,33.33333333
2142,97.6744186,58.13953488,39.53488372
2145,100,90.69767442,9.302325581
2146,98.57142857,82.85714286,15.71428571
2147,95.85258065,77.88032258,17.97225806
2148,94.19354839,78.70967742,15.48387097
2149,92.15705882,71.89529412,20.26176471
2150,97.03703704,74.44444444,22.59259259
2151,100,76.78571429,23.21428571
2152,100,78.87323944,21.12676056
2153,100,80.58648352,19.41351648
2154,100,97.7275,2.2725
2155,97.61904762,90.47619048,7.142857143
2156,100,95.12195122,4.87804878
2157,98.80952381,88.69047619,10.11904762
2158,100,86.9047619,13.0952381
2159,100,90.24390244,9.756097561
2160,100,87.20930233,12.79069767
2161,100,97.72727273,2.272727273
2162,100,67.06357143,32.93642857
2163,100,75.58139535,24.41860465
2164,100,86.48648649,13.51351351
2165,100,78.37837838,21.62162162
2166,95.55555556,60.55555556,35
2167,100,86.20689655,13.79310345
2168,89.54545455,69.77272727,19.77272727
2169,100,80.11363636,19.88636364
2171,100,66.66666667,33.33333333
2172,95,63.63636364,31.36363636
2173,100,86.52173913,13.47826087
2174,81.17647059,63.52941176,17.64705882
2175,96.66666667,76.66666667,20
2176,98.14814815,64.44444444,33.7037037
2177,94.11764706,67.05882353,27.05882353
2178,93.58974359,67.94871795,25.64102564
2179,100,91.4893617,8.510638298
2180,84.26666667,45.6,38.66666667
2181,100,91.30434783,8.695652174
2182,100,81.33333333,18.66666667
2183,100,86.95652174,13.04347826
2184,100,86.41304348,13.58695652
2185,96.19565217,68.47826087,27.7173913
2186,100,86.95652174,13.04347826
2187,100,82.17046512,17.82953488
2188,97.05882353,76.47058824,20.58823529
2189,100,86.58536585,13.41463415
2190,93.58923077,56.40974359,37.17948718
2192,100,78.57142857,21.42857143
2193,91.26952381,66.66571429,24.60380952
2194,100,69.04761905,30.95238095
2195,100,82.92682927,17.07317073
2196,87.42857143,49.42857143,38
2197,100,95.12195122,4.87804878
2198,76.31578947,51.05263158,25.26315789
2199,95.15151515,67.87878788,27.27272727
2200,94.87179487,64.87179487,30
2201,100,96.19047619,3.80952381
